Time,XVehicleVelocity,YVehicleVelocity,ZVehicleVelocity,XVehicleAcceleration,YVehicleAcceleration,ZVehicleAcceleration,RollEulerAnglesVelocity,PitchEulerAnglesVelocity,YawEulerAnglesVelocity,RollEulerAnglesAcceleration,PitchEulerAnglesAcceleration,YawEulerAnglesAcceleration,RollAngle,PitchAngle,YawAngle,HMDRollAngle,HMDPitchAngle,HMDYawAngle,RollEulerAngle,PitchEulerAngle,YawEulerAngle,DizzinessRange,,어지럼증
10/07/2018 14:33:29.000 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,-0.295532227,-2.399200439,2.927088499,-0.3,0.68,-10.29,0,,11
10/07/2018 14:33:29.112 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,-0.324829102,-2.331268311,3.228642941,-0.3,0.68,-10.29,0,,
10/07/2018 14:33:29.224 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,-0.656219482,-2.295623779,3.496935368,-0.3,0.68,-10.29,0,,
10/07/2018 14:33:29.336 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,-0.783325195,-2.233123779,3.556210041,-0.3,0.68,-10.29,0,,
10/07/2018 14:33:29.448 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,-0.867767334,-1.989379883,3.489046335,-0.29,0.67,-10.29,0,,
10/07/2018 14:33:29.559 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,-0.787811279,-1.596740723,3.473716497,-0.3,0.67,-10.29,0,,
10/07/2018 14:33:29.670 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,-0.717163086,-1.275512695,3.400457144,-0.3,0.67,-10.29,0,,
10/07/2018 14:33:29.783 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,-0.724761963,-1.111846924,3.316639185,-0.3,0.67,-10.29,0,,
10/07/2018 14:33:29.894 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,-0.676513672,-1.014160156,3.361809969,-0.29,0.66,-10.3,0,,
10/07/2018 14:33:30.006 PM,0,0,0,0,0,0,0,0.000100934,0,0,6.36E-05,0,0,-24.63056955,135.0000005,-0.670928955,-0.964080811,3.4464674,-0.29,0.66,-10.29,0,,
10/07/2018 14:33:30.117 PM,0,0,0,0,0,0,0,0.000113717,0,0,4.58E-05,0,0,-24.78501902,135.0000005,-0.701171875,-0.744384766,3.516269684,-0.29,0.66,-10.3,0,,
10/07/2018 14:33:30.229 PM,0,0,0,0,0,0,0,9.69E-05,0,0,2.37E-05,0,0,-24.92866526,135.0000005,-0.650177002,-0.563110352,3.599654913,-0.3,0.66,-10.3,0,,
10/07/2018 14:33:30.340 PM,0,0,0,0,0,0,0,6.92E-05,0,0,-1.54E-05,0,0,-25.06819163,135.0000005,-0.623809814,-0.294067383,3.59643054,-0.3,0.66,-10.3,0,,
10/07/2018 14:33:30.453 PM,0,0,0,0,0,0,0,6.79E-05,0,0,-6.92E-06,0,0,-25.19883738,135.0000005,-0.548095703,0.035202798,3.612842798,-0.3,0.66,-10.3,0,,
10/07/2018 14:33:30.564 PM,0,0,0,0,0,0,0,7.16E-05,0,0,1.86E-06,0,0,-25.32202158,135.0000005,-0.547088623,0.341381222,3.60152173,-0.3,0.66,-10.3,0,,
10/07/2018 14:33:30.676 PM,0,0,0,0,0,0,0,7.16E-05,0,0,6.92E-06,0,0,-25.43920908,135.0000005,-0.467010498,0.697171867,3.505891562,-0.29,0.66,-10.3,0,,
10/07/2018 14:33:30.787 PM,0,0,0,0,0,0,0,5.81E-05,0,0,-7.46E-06,0,0,-25.55090342,135.0000005,-0.389068604,1.004114747,3.459133863,-0.29,0.66,-10.31,0,,
10/07/2018 14:33:30.899 PM,0,0,0,0,0,0,0,5.78E-05,0,0,-3.73E-06,0,0,-25.65454112,135.0000005,-0.330596924,1.237291694,3.443050146,-0.29,0.67,-10.31,0,,
10/07/2018 14:33:31.011 PM,0.667705338,0.198141559,0,0.002670821,0.00183619,0,0,0.000120908,0,0,-1.25E-05,0,0,-25.82835398,135.0000005,-0.312713623,1.419099689,3.406048775,-0.29,0.67,-10.31,0,,
10/07/2018 14:33:31.123 PM,0.687763869,0.205702655,0,0.005568938,0.001044176,0,0,0.000116646,0,0,5.06E-06,0,0,-26.03466807,135.0000005,-0.20791626,1.932494521,3.337439775,-0.29,0.67,-10.31,0,,
10/07/2018 14:33:31.235 PM,0.638582904,0.1933784,0,-0.040078425,-0.011856534,0,0,0.000100667,0,0,-3.99E-06,0,0,-26.22125254,135.0000005,-0.093322754,2.314270735,3.227453947,-0.29,0.67,-10.31,0,,
10/07/2018 14:33:31.346 PM,0.675980766,0.207526095,0,0.032447077,0.010477702,0,0,9.32E-05,0,0,7.72E-06,0,0,-26.38531505,135.0000005,0.031120654,2.921306372,3.12280488,-0.29,0.67,-10.31,0,,
10/07/2018 14:33:31.458 PM,0.69190081,0.214134965,0,0.027787181,0.008162484,0,0,8.23E-05,0,0,1.38E-05,0,0,-26.52685557,135.0000005,0.164632723,3.40032196,3.063313961,-0.3,0.67,-10.31,0,,
10/07/2018 14:33:31.570 PM,0.668290789,0.208320936,0,-0.002772991,-0.00086656,0,0,6.63E-05,0,0,0,0,0,-26.64738475,135.0000005,0.271685898,3.927052259,2.95699501,-0.3,0.66,-10.31,0,,
10/07/2018 14:33:31.682 PM,0.658196746,0.207734813,0,0.013655534,0.005120825,0,0,4.07E-05,0,0,-1.52E-05,0,0,-26.74433909,135.0000005,0.324194819,4.453096867,2.885937691,-0.3,0.66,-10.31,0,,
10/07/2018 14:33:31.793 PM,0.629741525,0.200478884,0,-0.010719005,-0.002344782,0,0,2.45E-05,0,0,-1.36E-05,0,0,-26.81826793,135.0000005,0.417655975,4.806125641,2.794275045,-0.3,0.66,-10.31,0,,
10/07/2018 14:33:31.904 PM,0.655988765,0.20960891,0,0.002733287,0.001708304,0,0,2.05E-05,0,0,0,0,0,-26.86660777,135.0000005,0.507847607,5.09958601,2.729554892,-0.3,0.66,-10.31,0,,
10/07/2018 14:33:32.016 PM,0.627760768,0.201417854,0,-0.027058654,-0.008624946,0,0,9.59E-06,0,0,1.33E-06,0,0,-26.8927003,135.0000005,0.609613359,5.509114742,2.675727129,-0.31,0.66,-10.31,0,,
10/07/2018 14:33:32.128 PM,0.627174361,0.202276963,0,0.029109359,0.009923645,0,0,-9.59E-06,0,0,-8.26E-06,0,0,-26.89457713,135.0000005,0.680470109,5.803455353,2.652847052,-0.31,0.66,-10.32,0,,
10/07/2018 14:33:32.240 PM,0.68119122,0.219880396,0,0.02803256,0.008234565,0,0,-2.05E-05,0,0,5.59E-06,0,0,-26.8717805,135.0000005,0.766297698,6.068973064,2.621403694,-0.3,0.66,-10.32,0,,
10/07/2018 14:33:32.352 PM,0.628709128,0.203754602,0,-0.010839813,-0.003387441,0,0,-3.68E-05,0,0,-6.66E-06,0,0,-26.8264619,135.0000005,0.753965139,6.269990921,2.544457436,-0.31,0.66,-10.32,0,,
10/07/2018 14:33:32.463 PM,0.646541178,0.209577967,0,0.010958325,0.002568357,0,0,-4.90E-05,0,0,5.33E-06,0,0,-26.75601207,135.0000005,0.840677679,6.605113983,2.533698082,-0.31,0.66,-10.32,0,,
10/07/2018 14:33:32.575 PM,0.640741656,0.208070628,0,-0.00272656,0,0,0,-5.83E-05,0,0,-1.60E-06,0,0,-26.66368113,135.0000005,0.930930138,6.765383244,2.471126318,-0.31,0.66,-10.32,0,,
10/07/2018 14:33:32.687 PM,0.649516924,0.210510627,0,0.005481155,0.001712861,0,0,-7.67E-05,0,0,-7.99E-06,0,0,-26.54745494,135.0000005,0.981987715,6.952550411,2.412424326,-0.31,0.66,-10.32,0,,
10/07/2018 14:33:32.799 PM,0.62909592,0.204017427,0,-0.002699982,-0.000843745,0,0,-8.55E-05,0,0,5.33E-06,0,0,-26.40802012,135.0000005,1.016630054,7.020907402,2.419996738,-0.3,0.66,-10.32,0,,
10/07/2018 14:33:32.910 PM,0.638874863,0.206754524,0,0.008121291,0.003045484,0,0,-0.000103331,0,0,-2.40E-06,0,0,-26.24674998,135.0000005,0.992770553,7.131129742,2.416682005,-0.3,0.66,-10.32,0,,
10/07/2018 14:33:33.021 PM,0.686942402,0.221883804,0,0.028153377,0.010029641,0,0,-0.000120908,0,0,-1.07E-05,0,0,-26.06442271,135.0000005,0.978533447,7.184635162,2.447270155,-0.3,0.66,-10.33,0,,
10/07/2018 14:33:33.133 PM,0.616109033,0.197724122,0,-0.024108614,-0.008036205,0,0,-0.000125968,0,0,1.33E-06,0,0,-25.85984812,135.0000005,0.941103518,7.079929829,2.450499535,-0.3,0.66,-10.33,0,,
10/07/2018 14:33:33.245 PM,0.639338655,0.204140297,0,0.013375286,0.004514159,0,0,-0.000137419,0,0,-1.01E-05,0,0,-25.63613902,135.0000005,0.910290718,6.87360239,2.475907326,-0.29,0.66,-10.33,0,,
10/07/2018 14:33:33.357 PM,0.674839206,0.213850131,0,-0.002788592,-0.001045722,0,0,-0.000152066,0,0,-1.07E-06,0,0,-25.39164744,135.0000005,0.823804617,6.747879982,2.47887826,-0.29,0.66,-10.33,0,,
10/07/2018 14:33:33.468 PM,0.643049311,0.202315302,0,-0.019073497,-0.006130767,0,0,-0.000152599,-6.66E-08,0,5.33E-06,-6.66E-08,0,-25.12889109,135.0038686,0.796473682,6.855296612,2.521929741,-0.29,0.66,-10.33,0,,
10/07/2018 14:33:33.580 PM,0.667652879,0.208811844,0,0.027251138,0.0086863,0,0,-0.000172573,0,0,-8.52E-06,0,0,-24.84869395,135.0038229,0.830391824,6.829896927,2.539906979,-0.29,0.66,-10.33,0,,
10/07/2018 14:33:33.703 PM,0.640468883,0.198464622,0,-0.024219412,-0.007063995,0,0,-0.000178165,6.66E-08,0,1.33E-06,2.00E-07,0,-24.51956186,135.0037771,0.818237543,6.798414707,2.544909954,-0.29,0.67,-10.33,0,,
10/07/2018 14:33:33.815 PM,0.668990657,0.205320303,0,0.010877897,0.003229376,0,0,-0.000191748,-6.66E-08,0,2.66E-07,0,0,-24.20365915,135.0037427,0.776432872,6.767423153,2.568470716,-0.29,0.66,-10.33,0,,
10/07/2018 14:33:33.926 PM,0.663607333,0.201547408,0,0.023985807,0.007828701,0,0,-0.000197607,0,0,-6.39E-06,6.66E-08,0,-23.87287912,135.0037084,0.79729861,6.74995327,2.562748909,-0.29,0.66,-10.33,0,,
10/07/2018 14:33:34.038 PM,0.738667944,0.221528807,0,0.022904432,0.006620812,0,0,-0.000216781,6.66E-08,0,-1.33E-05,2.00E-07,0,-23.52818308,135.0036626,0.758362174,6.759020805,2.524706364,-0.28,0.67,-10.33,0,,
10/07/2018 14:33:34.150 PM,0.687634223,0.203621525,0,-0.01940903,-0.005718732,0,0,-0.00021252,0,0,2.93E-06,-6.66E-08,0,-23.16838083,135.0036283,0.760317326,6.99534893,2.550987005,-0.27,0.67,-10.33,0,,
10/07/2018 14:33:34.262 PM,0.684684079,0.199699523,0,0.016110214,0.003524109,0,0,-0.000218379,6.66E-08,0,2.66E-07,1.33E-07,0,-22.79814157,135.003594,0.759977043,7.072058678,2.52509141,-0.27,0.67,-10.33,0,,
10/07/2018 14:33:34.373 PM,0.741765408,0.213675844,0,0.044617468,0.012897237,0,0,-0.000236222,-6.66E-08,0,-1.57E-05,0,0,-22.41705331,135.0035482,0.75571233,7.176550865,2.515416145,-0.27,0.67,-10.33,0,,
