Time,MPEntropy
0.333333,-9875.195371240863
0.666667,-6023.513093090674
1.0,-8052.3323898679455
1.333333,-5331.3454750473375
1.666667,-5559.683245086286
2.0,-14365.482035248593
2.333333,-14904.146872353407
2.666667,690952.9443264069
3.0,-8582.825400162379
3.333333,-4715.4850148104515
3.666667,-1329.6483737638648
4.0,-7578.323247678959
4.3333330000000005,-2646.1709107545826
4.6666669999999995,-14811.392063341214
5.0,-11031.691520103168
5.3333330000000005,-7039.758821948517
5.6666669999999995,-3754.225451728925
6.0,-18304.316826575498
6.3333330000000005,-17641.587692957964
6.6666669999999995,-12833.25165074888
7.0,-13713.447525875798
7.3333330000000005,-4214.904622107901
7.6666669999999995,707316.6900605037
8.0,-5535.008487933205
8.333333,-17474.662086026263
8.666667,-12856.341582371804
9.0,-3563.4981948994946
9.333333,-12077.135814029496
9.666667,-6396.534539827054
10.0,-6493.113238061913
10.333333,-2671.6357691766575
10.666667,-11093.41128194383
11.0,-10180.6357797162
11.333333,-13294.347593606508
11.666667,-24359.040875337952
12.0,-5949.409847817463
12.333333,-10553.28830504431
12.666667,671097.1205647175
13.0,-12413.924688941015
13.333332999999998,-17667.963386509306
13.666667000000002,-6656.202696376462
14.0,-4256.739182102046
14.333332999999998,-24480.35768285433
14.666667000000002,-5002.704586786604
15.0,-13715.599269662736
15.333332999999998,-13367.188694999455
15.666667000000002,-21723.272078828217
16.0,-10074.655035837632
16.333333,-2358.8429811908836
16.666667,-12807.221511442234
17.0,-4054.430321622179
17.333333,-6320.872713892944
17.666667,694901.3929300164
18.0,-13250.220551793147
18.333333,-12193.06183215973
18.666667,-2966.115546555691
19.0,-13691.583963259702
19.333333,-4636.819711781466
19.666667,-4606.646500295622
20.0,-31937.65309466493
