Time,MPEntropy
0.333333,-133178.75584587088
0.666667,-132340.5706955727
1.0,-131179.45774181237
1.333333,-132562.6345523057
1.666667,-131543.60346284145
2.0,-131985.67230249342
2.333333,-132535.92860532962
2.666667,-124284.85680269406
3.0,-123985.94274510424
3.333333,-124780.10207524395
3.666667,-123847.93904884552
4.0,-122441.97590445758
4.3333330000000005,-124678.07873381993
4.6666669999999995,-123952.15122118764
5.0,-123719.58959082639
5.3333330000000005,-123872.00569335783
5.6666669999999995,-123327.62686879135
6.0,-122011.22628036741
6.3333330000000005,-123160.03920012384
6.6666669999999995,-123200.31051201651
7.0,-122525.419018261
7.3333330000000005,-133726.08534189765
7.6666669999999995,-130703.61608143673
8.0,-130478.3235201951
8.333333,-132416.22822032153
8.666667,-131729.4459336039
9.0,-131011.42640200476
9.333333,-133334.25471162147
9.666667,-132616.62929413366
10.0,-132247.38938408857
10.333333,-132085.156416258
10.666667,-132187.0938311772
11.0,-131536.19584323265
11.333333,-132657.0832444562
11.666667,-132097.42087843327
12.0,-125406.41932204778
12.333333,-124780.86331881816
12.666667,-123950.78859780764
13.0,-122989.81847742682
13.333332999999998,-123267.3571821938
13.666667000000002,-123917.69722383839
14.0,-124279.41219029152
14.333332999999998,-124392.28787402005
14.666667000000002,-123712.91483919823
15.0,-122815.4216335629
15.333332999999998,-123842.73345654346
15.666667000000002,-122568.19341243213
16.0,-122408.84788899585
16.333333,-123234.31298125301
16.666667,-135430.64480373016
17.0,-130310.04260850587
17.333333,-131757.54616792456
17.666667,-131801.77779516194
18.0,-130812.12736087773
18.333333,-132229.2055564869
18.666667,-132051.58422997556
19.0,-131697.73056338925
19.333333,-133369.28476703883
19.666667,-131094.36716970443
20.0,-131144.9085314342
