Time,MPEntropy
0.333333,-30733.40344997948
0.666667,-29985.9917768777
1.0,-33369.3095946992
1.333333,-31570.953805285142
1.666667,-30480.935764081143
2.0,-34027.80804962159
2.333333,-31218.703913225312
2.666667,-29779.199509877028
3.0,-34267.44195285381
3.333333,-32259.38114667366
3.666667,-31234.069657924727
4.0,-34056.620017906964
4.3333330000000005,-33005.50559690796
4.6666669999999995,-33678.49968621453
5.0,-34825.61505835599
5.3333330000000005,-33816.36134820152
5.6666669999999995,-31679.197936987734
6.0,-34591.90653329388
6.3333330000000005,-32447.719620028976
6.6666669999999995,-31582.479703061937
7.0,-32483.417769112126
7.3333330000000005,-33889.246588829636
7.6666669999999995,-33217.87923731152
8.0,-35006.639685732545
8.333333,-31606.10173206932
8.666667,-32256.75797112945
9.0,-32956.828823044605
9.333333,-32503.97239430444
9.666667,-31361.16141467489
10.0,-33794.77912154319
10.333333,-32820.794590531936
10.666667,-33726.3181264968
11.0,-34765.82048696088
11.333333,-34148.53227437781
11.666667,-33984.11391072703
12.0,-34011.11611956221
12.333333,-33399.8961210674
12.666667,-32954.67600847919
13.0,-33271.18707378233
13.333332999999998,-32712.813127984315
13.666667000000002,-33601.91495265375
14.0,-34658.28079498411
14.333332999999998,-34147.484772132506
14.666667000000002,-33679.181988416785
15.0,-34397.32837793287
15.333332999999998,-33785.54757824796
15.666667000000002,-33118.39455028379
16.0,-34603.91265241796
16.333333,-32457.703977733167
16.666667,-31607.775998897574
17.0,-33581.76122319806
17.333333,-31767.84165304503
17.666667,-32075.881726757078
18.0,-33353.0442416246
18.333333,-33783.440070056524
18.666667,-33321.474690646006
19.0,-35151.56841533327
19.333333,-32068.72506239644
19.666667,-31692.91906557606
20.0,-34049.626508135196
