Time,MPEntropy
0.333333,-255330.0262260145
0.666667,-260924.64513642117
1.0,-253080.93067522833
1.333333,-252187.2637297239
1.666667,-257890.7109478448
2.0,-230202.1428031411
2.333333,-233327.26494052383
2.666667,-232300.05643855518
3.0,-222739.20683677658
3.333333,-225712.520990252
3.666667,-243874.55100122036
4.0,-228329.37003035418
4.3333330000000005,-229550.0582981205
4.6666669999999995,-233966.6272156413
5.0,-230870.60031056413
5.3333330000000005,-228720.5980793863
5.6666669999999995,-230104.32212855414
6.0,-224863.1001380525
6.3333330000000005,-226370.75906778124
6.6666669999999995,-246957.73201919327
7.0,-236247.31195511614
7.3333330000000005,-245920.68557073426
7.6666669999999995,-261143.8616822441
8.0,-252429.0222761176
8.333333,-256610.5806553371
8.666667,-257798.61994026718
9.0,-252985.94613035076
9.333333,-251416.0025033912
9.666667,-239249.80205240543
10.0,-231713.76637406167
