Time,pitch,yaw,roll,surge,heave,sway
0,0,0,0,0,0,0
0.333333,0,0,0,0,0,0
0.666667,0,0,0,0,0,0
1,0,0,0,0,0,0
1.333333,0,0,0,0,0,0
1.666667,0,0,0,0,0,0
2,0,0,0,0,0,0
2.333333,0,0,0,0,0,0
2.666667,0,0,0,0,0,0
3,0,0,0,0,0,0
3.333333,0,0,0,0,0,0
3.666667,0,0,0,0,0,0
4,0,0,0,0,0,0
4.333333,0,0,0,0,0,0
4.666667,0,0,0,0,0,0
5,0,0,0,0,0,0
5.333333,0,0,0,0,0,0
5.666667,0,0,0,0,0,0
6,0,0,0,0,0,0
6.333333,0,0,0,0,0,0
6.666667,0,0,0,0,0,0
7,0,0,0,0,0,0
7.333333,0,0,0,0,0,0
7.666667,0,0,0,0,0,0
8,0,0,0,0,0,0
8.333333,0,0,0,0,0,0
8.666667,0,0,0,0,0,0
9,0,0,0,0,0,0
9.333333,0,0,0,0,0,0
9.666667,0,0,0,0,0,0
10,0,0,0,0,0,0
