Time,pitch,yaw,roll,surge,heave,sway
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.333333,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
0.666667,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
1.000000,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
1.333333,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
1.666667,2.000000,1.000000,2.000000,1.000000,0.000000,2.000000
2.000000,2.000000,1.000000,2.000000,1.000000,0.000000,2.000000
2.333333,2.000000,1.000000,2.000000,1.000000,0.000000,2.000000
2.666667,0.000000,0.000000,1.000000,1.000000,0.000000,2.000000
3.000000,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
3.333333,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
3.666667,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
4.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
4.333333,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
4.666667,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
5.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
5.333333,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
5.666667,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
6.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
6.333333,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
6.666667,1.000000,2.000000,1.000000,1.000000,0.000000,1.000000
7.000000,1.000000,2.000000,1.000000,1.000000,0.000000,1.000000
7.333333,1.000000,2.000000,2.000000,1.000000,0.000000,1.000000
7.666667,0.000000,0.000000,2.000000,1.000000,0.000000,1.000000
8.000000,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000
8.333333,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000
8.666667,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000
9.000000,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000
9.333333,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
9.666667,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
10.000000,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
10.333333,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
10.666667,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
11.000000,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
11.333333,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
11.666667,2.000000,1.000000,2.000000,1.000000,0.000000,2.000000
12.000000,2.000000,1.000000,1.000000,1.000000,0.000000,2.000000
12.333333,2.000000,1.000000,1.000000,1.000000,0.000000,2.000000
12.666667,0.000000,0.000000,1.000000,1.000000,0.000000,2.000000
13.000000,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
13.333333,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000
13.666667,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000
14.000000,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000
14.333333,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
14.666667,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
15.000000,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
15.333333,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
15.666667,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
16.000000,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
16.333333,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
16.666667,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
17.000000,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
17.333333,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
17.666667,0.000000,0.000000,2.000000,2.000000,0.000000,2.000000
18.000000,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
18.333333,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
18.666667,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
19.000000,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
19.333333,2.000000,1.000000,2.000000,2.000000,0.000000,0.000000
19.666667,2.000000,1.000000,2.000000,2.000000,0.000000,0.000000
20.000000,2.000000,1.000000,2.000000,2.000000,0.000000,0.000000
20.333333,2.000000,1.000000,2.000000,2.000000,0.000000,0.000000
20.666667,2.000000,1.000000,2.000000,2.000000,0.000000,0.000000
21.000000,2.000000,1.000000,2.000000,2.000000,0.000000,0.000000
21.333333,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
21.666667,2.000000,1.000000,1.000000,2.000000,0.000000,1.000000
22.000000,2.000000,1.000000,1.000000,2.000000,0.000000,1.000000
22.333333,2.000000,1.000000,1.000000,2.000000,0.000000,1.000000
22.666667,0.000000,1.000000,1.000000,2.000000,0.000000,1.000000
23.000000,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000
23.333333,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000
23.666667,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000
24.000000,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000
24.333333,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
24.666667,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
25.000000,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
25.333333,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
25.666667,1.000000,2.000000,1.000000,2.000000,0.000000,0.000000
26.000000,1.000000,2.000000,0.000000,2.000000,0.000000,0.000000
26.333333,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
26.666667,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
27.000000,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
27.333333,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
27.666667,0.000000,2.000000,2.000000,2.000000,0.000000,2.000000
28.000000,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
28.333333,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
28.666667,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
29.000000,2.000000,1.000000,2.000000,0.000000,0.000000,0.000000
29.333333,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
29.666667,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
30.000000,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
30.333333,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
30.666667,2.000000,1.000000,0.000000,1.000000,0.000000,0.000000
31.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000
31.333333,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000
31.666667,2.000000,1.000000,1.000000,1.000000,0.000000,2.000000
32.000000,2.000000,1.000000,1.000000,1.000000,0.000000,2.000000
32.333333,2.000000,1.000000,1.000000,1.000000,0.000000,2.000000
32.666667,0.000000,1.000000,1.000000,1.000000,0.000000,2.000000
33.000000,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
33.333333,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
33.666667,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
34.000000,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
34.333333,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
34.666667,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
35.000000,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
35.333333,1.000000,2.000000,0.000000,1.000000,0.000000,0.000000
35.666667,1.000000,2.000000,2.000000,1.000000,0.000000,0.000000
36.000000,1.000000,2.000000,2.000000,1.000000,0.000000,0.000000
36.333333,1.000000,2.000000,2.000000,1.000000,0.000000,0.000000
36.666667,1.000000,2.000000,2.000000,1.000000,0.000000,1.000000
37.000000,1.000000,2.000000,2.000000,1.000000,0.000000,1.000000
37.333333,1.000000,2.000000,2.000000,1.000000,0.000000,1.000000
37.666667,0.000000,2.000000,2.000000,1.000000,0.000000,1.000000
38.000000,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000
38.333333,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000
38.666667,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000
39.000000,2.000000,1.000000,2.000000,1.000000,0.000000,1.000000
39.333333,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
39.666667,2.000000,1.000000,2.000000,1.000000,0.000000,0.000000
40.000000,2.000000,1.000000,0.000000,1.000000,0.000000,0.000000
40.333333,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000
40.666667,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000
41.000000,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000
