,Time,Timediff,Index
0,0.000000,0.000000,0
1,0.333333,0.333333,2
2,0.666667,0.333334,3
3,1.000000,0.333333,4
4,1.333333,0.333333,5
5,1.666667,0.333334,6
6,2.000000,0.333333,7
7,2.333333,0.333333,8
8,2.666667,0.333334,9
9,3.000000,0.333333,10
10,3.333333,0.333333,11
11,3.666667,0.333334,12
12,4.000000,0.333333,13
13,4.333333,0.333333,14
14,4.666667,0.333334,15
15,5.000000,0.333333,16
16,5.333333,0.333333,17
17,5.666667,0.333334,18
18,6.000000,0.333333,19
19,6.333333,0.333333,20
20,6.666667,0.333334,21
21,7.000000,0.333333,22
22,7.333333,0.333333,23
23,7.666667,0.333334,24
24,8.000000,0.333333,25
25,8.333333,0.333333,26
26,8.666667,0.333334,27
27,9.000000,0.333333,28
28,9.333333,0.333333,29
29,9.666667,0.333334,30
30,10.000000,0.333333,31
31,10.333333,0.333333,32
32,10.666667,0.333334,33
33,11.000000,0.333333,34
34,11.333333,0.333333,35
35,11.666667,0.333334,36
36,12.000000,0.333333,37
37,12.333333,0.333333,38
38,12.666667,0.333334,39
39,13.000000,0.333333,40
40,13.333333,0.333333,41
41,13.666667,0.333334,42
42,14.000000,0.333333,43
43,14.333333,0.333333,44
44,14.666667,0.333334,45
45,15.000000,0.333333,46
46,15.333333,0.333333,47
47,15.666667,0.333334,48
48,16.000000,0.333333,49
49,16.333333,0.333333,50
50,16.666667,0.333334,51
51,17.000000,0.333333,52
52,17.333333,0.333333,53
53,17.666667,0.333334,54
54,18.000000,0.333333,55
55,18.333333,0.333333,56
56,18.666667,0.333334,57
57,19.000000,0.333333,58
58,19.333333,0.333333,59
59,19.666667,0.333334,60
60,20.000000,0.333333,61
