,Time,Timediff,Index
0,0.000000,0.000000,0
1,0.333333,0.333333,1
2,0.666667,0.333334,2
3,1.000000,0.333333,3
4,1.333333,0.333333,4
5,1.666667,0.333334,5
6,2.000000,0.333333,6
7,2.333333,0.333333,7
8,2.666667,0.333334,8
9,3.000000,0.333333,9
10,3.333333,0.333333,10
11,3.666667,0.333334,11
12,4.000000,0.333333,12
13,4.333333,0.333333,13
14,4.666667,0.333334,14
15,5.000000,0.333333,15
16,5.333333,0.333333,16
17,5.666667,0.333334,17
18,6.000000,0.333333,18
19,6.333333,0.333333,19
20,6.666667,0.333334,20
21,7.000000,0.333333,21
22,7.333333,0.333333,22
23,7.666667,0.333334,23
24,8.000000,0.333333,24
25,8.333333,0.333333,25
26,8.666667,0.333334,26
27,9.000000,0.333333,27
28,9.333333,0.333333,28
29,9.666667,0.333334,29
30,10.000000,0.333333,30
31,10.333333,0.333333,31
32,10.666667,0.333334,32
33,11.000000,0.333333,33
34,11.333333,0.333333,34
35,11.666667,0.333334,35
36,12.000000,0.333333,36
37,12.333333,0.333333,37
38,12.666667,0.333334,38
39,13.000000,0.333333,39
40,13.333333,0.333333,40
41,13.666667,0.333334,41
42,14.000000,0.333333,42
43,14.333333,0.333333,43
44,14.666667,0.333334,44
45,15.000000,0.333333,45
46,15.333333,0.333333,46
47,15.666667,0.333334,47
48,16.000000,0.333333,48
49,16.333333,0.333333,49
50,16.666667,0.333334,50
51,17.000000,0.333333,51
52,17.333333,0.333333,52
53,17.666667,0.333334,53
54,18.000000,0.333333,54
55,18.333333,0.333333,55
56,18.666667,0.333334,56
57,19.000000,0.333333,57
58,19.333333,0.333333,58
59,19.666667,0.333334,59
60,20.000000,0.333333,60
61,20.333333,0.333333,61
62,20.666667,0.333334,62
63,21.000000,0.333333,63
64,21.333333,0.333333,64
65,21.666667,0.333334,65
66,22.000000,0.333333,66
67,22.333333,0.333333,67
68,22.666667,0.333334,68
69,23.000000,0.333333,69
70,23.333333,0.333333,70
71,23.666667,0.333334,71
72,24.000000,0.333333,72
73,24.333333,0.333333,73
74,24.666667,0.333334,74
75,25.000000,0.333333,75
76,25.333333,0.333333,76
77,25.666667,0.333334,77
78,26.000000,0.333333,78
79,26.333333,0.333333,79
80,26.666667,0.333334,80
81,27.000000,0.333333,81
82,27.333333,0.333333,82
83,27.666667,0.333334,83
84,28.000000,0.333333,84
85,28.333333,0.333333,85
86,28.666667,0.333334,86
87,29.000000,0.333333,87
88,29.333333,0.333333,88
89,29.666667,0.333334,89
90,30.000000,0.333333,90
91,30.333333,0.333333,91
92,30.666667,0.333334,92
93,31.000000,0.333333,93
94,31.333333,0.333333,94
95,31.666667,0.333334,95
96,32.000000,0.333333,96
97,32.333333,0.333333,97
98,32.666667,0.333334,98
99,33.000000,0.333333,99
100,33.333333,0.333333,100
101,33.666667,0.333334,101
102,34.000000,0.333333,102
103,34.333333,0.333333,103
104,34.666667,0.333334,104
105,35.000000,0.333333,105
106,35.333333,0.333333,106
107,35.666667,0.333334,107
108,36.000000,0.333333,108
109,36.333333,0.333333,109
110,36.666667,0.333334,110
111,37.000000,0.333333,111
112,37.333333,0.333333,112
113,37.666667,0.333334,113
114,38.000000,0.333333,114
115,38.333333,0.333333,115
116,38.666667,0.333334,116
117,39.000000,0.333333,117
118,39.333333,0.333333,118
119,39.666667,0.333334,119
120,40.000000,0.333333,120
121,40.333333,0.333333,121
122,40.666667,0.333334,122
123,41.000000,0.333333,123
124,41.333333,0.333333,124
125,41.666667,0.333334,125
126,42.000000,0.333333,126
127,42.333333,0.333333,127
128,42.666667,0.333334,128
129,43.000000,0.333333,129
130,43.333333,0.333333,130
131,43.666667,0.333334,131
132,44.000000,0.333333,132
133,44.333333,0.333333,133
134,44.666667,0.333334,134
135,45.000000,0.333333,135
136,45.333333,0.333333,136
137,45.666667,0.333334,137
138,46.000000,0.333333,138
139,46.333333,0.333333,139
140,46.666667,0.333334,140
141,47.000000,0.333333,141
142,47.333333,0.333333,142
143,47.666667,0.333334,143
144,48.000000,0.333333,144
145,48.333333,0.333333,145
146,48.666667,0.333334,146
147,49.000000,0.333333,147
148,49.333333,0.333333,148
149,49.666667,0.333334,149
150,50.000000,0.333333,150
151,50.333333,0.333333,151
152,50.666667,0.333334,152
153,51.000000,0.333333,153
154,51.333333,0.333333,154
155,51.666667,0.333334,155
156,52.000000,0.333333,156
157,52.333333,0.333333,157
158,52.666667,0.333334,158
159,53.000000,0.333333,159
160,53.333333,0.333333,160
161,53.666667,0.333334,161
162,54.000000,0.333333,162
163,54.333333,0.333333,163
164,54.666667,0.333334,164
165,55.000000,0.333333,165
166,55.333333,0.333333,166
167,55.666667,0.333334,167
168,56.000000,0.333333,168
169,56.333333,0.333333,169
170,56.666667,0.333334,170
171,57.000000,0.333333,171
172,57.333333,0.333333,172
173,57.666667,0.333334,173
174,58.000000,0.333333,174
175,58.333333,0.333333,175
176,58.666667,0.333334,176
177,59.000000,0.333333,177
178,59.333333,0.333333,178
179,59.666667,0.333334,179
180,60.000000,0.333333,180
