,Time,Timediff,Index
0,0.000000,0.000000,0
1,0.333333,0.333333,1
2,0.666667,0.333333,2
3,1.000000,0.333333,3
4,1.333333,0.333333,4
5,1.666667,0.333333,5
6,2.000000,0.333333,6
7,2.333333,0.333333,7
8,2.666667,0.333333,8
9,3.000000,0.333333,9
10,3.333333,0.333333,10
11,3.666667,0.333333,11
12,4.000000,0.333333,12
13,4.333333,0.333333,13
14,4.666667,0.333333,14
15,5.000000,0.333333,15
16,5.333333,0.333333,16
17,5.666667,0.333333,17
18,6.000000,0.333333,18
19,6.333333,0.333333,19
20,6.666667,0.333333,20
21,7.000000,0.333333,21
22,7.333333,0.333333,22
23,7.666667,0.333333,23
24,8.000000,0.333333,24
25,8.333333,0.333333,25
26,8.666667,0.333333,26
27,9.000000,0.333333,27
28,9.333333,0.333333,28
29,9.666667,0.333333,29
30,10.000000,0.333333,30
31,10.333333,0.333333,31
32,10.666667,0.333333,32
33,11.000000,0.333333,33
34,11.333333,0.333333,34
35,11.666667,0.333333,35
36,12.000000,0.333333,36
37,12.333333,0.333333,37
38,12.666667,0.333333,38
39,13.000000,0.333333,39
40,13.333333,0.333333,40
41,13.666667,0.333333,41
42,14.000000,0.333333,42
43,14.333333,0.333333,43
44,14.666667,0.333333,44
45,15.000000,0.333333,45
46,15.333333,0.333333,46
47,15.666667,0.333333,47
48,16.000000,0.333333,48
49,16.333333,0.333333,49
50,16.666667,0.333333,50
51,17.000000,0.333333,51
52,17.333333,0.333333,52
53,17.666667,0.333333,53
54,18.000000,0.333333,54
55,18.333333,0.333333,55
56,18.666667,0.333333,56
57,19.000000,0.333333,57
58,19.333333,0.333333,58
59,19.666667,0.333333,59
