,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,1
100,2
101,2
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,2
125,4
126,5
127,6
128,5
129,4
130,3
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,1
140,1
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,1
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,2
162,2
163,2
164,2
165,2
166,3
167,3
168,2
169,2
170,2
171,3
172,5
173,6
174,4
175,2
176,2
177,2
178,2
179,1
180,0
181,0
182,0
183,0
184,0
185,1
186,2
187,2
188,2
189,2
190,1
191,0
192,0
193,1
194,2
195,2
196,2
197,2
198,1
199,0
200,0
201,1
202,2
203,2
204,2
205,2
206,2
207,2
208,3
209,4
210,3
211,2
212,2
213,2
214,2
215,2
216,1
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,1
231,2
232,2
233,3
234,5
235,5
236,3
237,1
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,1
251,2
252,2
253,1
254,0
255,0
256,0
257,0
258,0
259,0
260,1
261,2
262,2
263,2
264,3
265,4
266,4
267,4
268,4
269,3
270,2
271,1
272,1
273,2
274,3
275,4
276,4
277,3
278,1
279,1
280,2
281,3
282,4
283,4
284,4
285,4
286,4
287,4
288,3
289,3
290,4
291,5
292,7
293,6
294,3
295,2
296,2
297,3
298,4
299,2
300,0
301,0
302,0
303,1
304,2
305,2
306,2
307,3
308,4
309,4
310,4
311,3
312,2
313,2
314,2
