Time,XVehicleVelocity,YVehicleVelocity,ZVehicleVelocity,XVehicleAcceleration,YVehicleAcceleration,ZVehicleAcceleration,RollEulerAnglesVelocity,PitchEulerAnglesVelocity,YawEulerAnglesVelocity,RollEulerAnglesAcceleration,PitchEulerAnglesAcceleration,YawEulerAnglesAcceleration,RollAngle,PitchAngle,YawAngle,HMDRollAngle,HMDPitchAngle,HMDYawAngle,RollEulerAngle,PitchEulerAngle,YawEulerAngle,DizzinessRange,,어지럼증
10/07/2018 14:39:32.293 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,0.607972503,-4.40838623,-2.370849609,-0.32,0.68,-16.86,0,,32
10/07/2018 14:39:32.404 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,0.709418893,-4.255493164,-2.375457764,-0.32,0.68,-16.86,0,,
10/07/2018 14:39:32.516 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,0.746117234,-4.162628174,-2.41885376,-0.33,0.68,-16.86,0,,
10/07/2018 14:39:32.628 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,0.769570172,-4.108917236,-2.494171143,-0.32,0.68,-16.86,0,,
10/07/2018 14:39:32.740 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,0.762607217,-4.104675293,-2.469360352,-0.32,0.68,-16.86,0,,
10/07/2018 14:39:32.851 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,0.83346796,-4.171478271,-2.542510986,-0.32,0.68,-16.86,0,,
10/07/2018 14:39:32.963 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,0.828451931,-4.182922363,-2.572906494,-0.32,0.68,-16.87,0,,
10/07/2018 14:39:33.075 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,0.831743896,-4.184020996,-2.584075928,-0.32,0.69,-16.86,0,,
10/07/2018 14:39:33.186 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034927368,135.0000005,0.854558706,-4.140563965,-2.654815674,-0.31,0.69,-16.87,0,,
10/07/2018 14:39:33.298 PM,0,0,0,0,0,0,0,0.000123837,0,0,3.49E-05,0,0,-24.59614573,135.0000005,0.826961577,-4.065490723,-2.643096924,-0.32,0.69,-16.87,0,,
10/07/2018 14:39:33.409 PM,0,0,0,0,0,0,0,9.21E-05,0,0,2.53E-05,0,0,-24.74240122,135.0000005,0.841006756,-4.047790527,-2.625305176,-0.32,0.69,-16.87,0,,
10/07/2018 14:39:33.521 PM,0,0,0,0,0,0,0,7.99E-05,0,0,-1.36E-05,0,0,-24.88911448,135.0000005,0.857223868,-4.119140625,-2.660461426,-0.32,0.69,-16.87,0,,
10/07/2018 14:39:33.633 PM,0,0,0,0,0,0,0,8.44E-05,0,0,1.36E-05,0,0,-25.0269929,135.0000005,0.823422909,-4.105834961,-2.611694336,-0.32,0.69,-16.88,0,,
10/07/2018 14:39:33.745 PM,0,0,0,0,0,0,0,8.12E-05,0,0,1.38E-05,0,0,-25.1594697,135.0000005,0.818903267,-4.108825684,-2.613677979,-0.32,0.69,-16.88,0,,
10/07/2018 14:39:33.856 PM,0,0,0,0,0,0,0,6.07E-05,0,0,-1.07E-05,0,0,-25.28649912,135.0000005,0.763083339,-4.07208252,-2.588104248,-0.32,0.69,-16.88,0,,
10/07/2018 14:39:33.968 PM,0,0,0,0,0,0,0,7.06E-05,0,0,5.59E-06,0,0,-25.40501414,135.0000005,0.738775194,-4.065002441,-2.616424561,-0.32,0.69,-16.88,0,,
10/07/2018 14:39:34.080 PM,0,0,0,0,0,0,0,6.44E-05,0,0,6.92E-06,0,0,-25.51757823,135.0000005,0.683419704,-4.021179199,-2.621704102,-0.32,0.69,-16.89,0,,
10/07/2018 14:39:34.192 PM,0,0,0,0,0,0,0,5.65E-05,0,0,-1.60E-06,0,0,-25.62414561,135.0000005,0.674729645,-3.993835449,-2.622924805,-0.32,0.69,-16.89,0,,
10/07/2018 14:39:34.303 PM,0.691778545,0.204265319,0,0.002723538,0.001191548,0,0,0.00013449,0,0,5.33E-06,0,0,-25.7620698,135.0000005,0.625429571,-3.954223633,-2.647460938,-0.32,0.7,-16.89,0,,
10/07/2018 14:39:34.415 PM,0.657934881,0.197143554,0,-0.037905713,-0.00964565,0,0,0.000112652,0,0,-1.52E-05,0,0,-25.9761201,135.0000005,0.598421991,-3.980255127,-2.577484131,-0.32,0.69,-16.89,0,,
10/07/2018 14:39:34.527 PM,0.662302717,0.200380363,0,0,-0.000168955,0,0,0.000102798,0,0,-2.66E-07,0,0,-26.16737376,135.0000005,0.593772888,-4.010620117,-2.558074951,-0.32,0.69,-16.9,0,,
